"","Domain","Mean","Head_Count","Poverty_Gap","Poverty_Severity","Gini","Quintile_Share","Quantile_10","Quantile_25","Median","Quantile_75","Quantile_90","admin0Pcod","admin1Pcod","admin2Pcod","admin2Name","area"
"29","13006",14189.9998801189,0.605828494964901,0.329523151704131,0.439504662769624,0.562367639175493,22.8997765449895,1904.87978581214,3701.42608632138,7767.98710346423,16248.4942798854,31629.8154652884,"BDI","BDI013","BDI013006","Rusaka",162.110069820939
"30","14001",12661.20998352,0.644425593313574,0.360704593660172,0.476696819647434,0.561216065596261,22.78917121262,1708.57744995379,3314.26106944157,6974.18660660414,14535.109079447,28270.4152788428,"BDI","BDI014","BDI014001","Busiga",123.246607465722
"31","14002",12662.3581766255,0.645541566774492,0.363246921911014,0.47932164864931,0.562910507377223,23.0667181513637,1690.80970618482,3291.80180308222,6910.23110326599,14526.1429110124,28432.9964390582,"BDI","BDI014","BDI014002","Gashikanwa",129.466226115393
"32","14003",12062.2798190509,0.665135770335192,0.378896953816791,0.497893126313023,0.566590106661089,23.419840926374,1595.36292907334,3112.03683759901,6524.63822059038,13704.2828331713,26942.8888619764,"BDI","BDI014","BDI014003","Kiremba",230.524740567428
"33","14004",12521.829061117,0.648118951082722,0.364486722916646,0.481185271331072,0.561729904116161,22.7914599794781,1691.80240035089,3273.17497632932,6850.99389118702,14399.3344273399,27976.095109743,"BDI","BDI014","BDI014004","Marangara",174.00652878569
"34","14005",12202.9717437188,0.660875562096119,0.375648277675499,0.49398946587294,0.566203589932172,23.4193484581683,1611.51693262689,3145.42316687448,6607.14417537433,13893.5329737738,27261.7408311029,"BDI","BDI014","BDI014005","Mwumba",119.111017037204
"35","14006",19595.4377715155,0.525676277343203,0.276962304602953,0.372487659221353,0.598421431796634,28.684759160363,2215.48112761483,4450.09524831332,9690.01039911737,21272.2879321675,43472.3147648672,"BDI","BDI014","BDI014006","Ngozi",180.866389707354
"36","14007",13009.1683449141,0.636221568261694,0.354607172495269,0.469507087323427,0.562771277847142,22.9171583836371,1749.64373589608,3387.64370065908,7118.11803424992,14899.1310747088,29122.0281170763,"BDI","BDI014","BDI014007","Nyamurenza",93.0009606415813
"37","14008",13204.9694037954,0.633415524040666,0.352599985637292,0.466741867546868,0.565604761675846,23.3887753147052,1745.78938411141,3407.76885891353,7163.63890776882,15084.0381133796,29385.8774892115,"BDI","BDI014","BDI014008","Ruhororo",159.642924975665
"38","14009",12385.2347161251,0.652197957187823,0.367730731865411,0.48497580100391,0.561958897610654,22.9057772000636,1661.70232826635,3239.25117903548,6775.99380734003,14225.0925713755,27716.2649500004,"BDI","BDI014","BDI014009","Tangara",203.378965201087
"39","15001",12506.7499708798,0.653293887605916,0.369167776161108,0.486329253229206,0.566907404069942,23.4878398960125,1650.36573265267,3223.96938769072,6772.14318038962,14201.9960226327,27712.8492398717,"BDI","BDI015","BDI015001","Bukemba",223.083042543908
"40","15002",11760.9794546185,0.668984906138156,0.382290203751311,0.501940644360039,0.562381557621655,22.9272710975487,1577.14178361185,3066.16681431761,6438.66460865319,13516.0993000406,26304.0456521219,"BDI","BDI015","BDI015002","Giharo",565.143137989501
"41","15003",12649.3546494204,0.644659072757322,0.36123568165063,0.477431336438762,0.561010524423451,22.718378884193,1707.9203452484,3324.24815638476,6935.0564325092,14551.7042798496,28305.5714781024,"BDI","BDI015","BDI015003","Gitanga",269.600112657494
"42","15004",12532.5684218287,0.647765264193441,0.364182701416872,0.480794975342967,0.56163422376564,22.8343143160406,1685.09202015622,3277.424845377,6865.72637900126,14432.3284294581,28064.5757054569,"BDI","BDI015","BDI015004","Mpinga-Kayove",288.790679193093
"43","15005",11757.9418532113,0.668447803067167,0.381789843777275,0.50135200450301,0.560710313815052,22.7534151146763,1585.23541884142,3075.5427527759,6468.81886391279,13560.0325803215,26400.7051794924,"BDI","BDI015","BDI015005","Musongati",244.723789204757
"44","15006",13732.4814366689,0.62022097383588,0.342952523529931,0.45507779513421,0.565905350098445,23.4790607409742,1805.66698036008,3535.73660887067,7437.71914627148,15656.3150008018,30866.8129319397,"BDI","BDI015","BDI015006","Rutana",259.927540496242
"45","16001",12520.2864437403,0.647950978368088,0.364767677324127,0.481349226898554,0.562065188319322,22.8650210037371,1683.84699020008,3270.23877291101,6858.65304634622,14389.5574641416,28001.5448340479,"BDI","BDI016","BDI016001","Butaganzwa1",336.968922019805
"46","16002",11336.9232676503,0.68271087078714,0.394695199585416,0.51615818995811,0.5634679665025,23.1389658188619,1507.9434882763,2949.61749195194,6199.15824128813,12983.3841599012,25308.1729549123,"BDI","BDI016","BDI016002","Butezi",314.410565018468
"47","16003",12143.4656128976,0.659150387814198,0.373826646405711,0.49197510663974,0.56163896724676,22.8624616942722,1625.28270780362,3180.69412407167,6660.71576826217,13965.5962824451,27137.4116543689,"BDI","BDI016","BDI016003","Bweru",320.468114701612
"48","16004",11893.4253146577,0.665697849711719,0.380102645485188,0.499217437247445,0.561509712738444,22.8176976744142,1599.09291905261,3114.51004757543,6524.06555179674,13664.2514716894,26656.8213845785,"BDI","BDI016","BDI016004","Gisuru",520.020098055635
