"","hhid","hh_size","weight","weight_adj","rpc_tot_cons","pline_int_215","urban","cons_decile","province","closest_market","closest_hospital","closest_bank","closest_capital_city","closest_capital_city_linear","bdi_osm_dst_road_100m_2016","bdi_osm_dst_roadintersec_100m_2016","bdi_osm_dst_waterway_100m_2016","hhweight"
"30",100310,7,70.359097948049,70.7517951800624,4614.88427734375,10381.1357421875,0,2,1,29.5619094966003,29.1442239069308,53.6496185620314,57.6676955833922,29.9190551776705,0.592999994754791,2.20199990272522,0.293000012636185,492.513685636343
"31",100401,2,258.241084776356,259.682413078471,11477.4443359375,10381.1357421875,0,6,1,62.9735486470652,48.5768401809734,82.6509571193767,104.388868970237,46.0681702566823,1.11300003528595,4.99499988555908,2.37700009346008,516.482169552712
"32",100402,2,258.241084776356,259.682413078471,17282.515625,10381.1357421875,0,8,1,106.118737350613,89.7442676841665,123.81838462257,147.534057673785,46.2974256559281,0.967999994754791,4.93599987030029,2.65599989891052,516.482169552712
"33",100403,3,258.241084776356,259.682413078471,14098.0224609375,10381.1357421875,0,7,1,106.118737350613,89.7442676841665,123.81838462257,147.534057673785,46.7379141952553,0.47299998998642,4.43800020217896,2.98499989509583,774.723254329068
"34",100404,3,258.241084776356,259.682413078471,7531.2373046875,10381.1357421875,0,4,1,43.4820965130926,27.1076268466457,61.181743785049,84.8974168362648,46.5412220786882,0.592999994754791,4.73899984359741,2.9909999370575,774.723254329068
"35",100405,4,258.241084776356,259.682413078471,5100.61083984375,10381.1357421875,0,2,1,38.158020839071,23.7613123729792,57.8354293113824,79.5733411622432,45.9644458114264,1.02499997615814,5.20100021362305,2.2409999370575,1032.96433910542
"36",100406,7,258.241084776356,259.682413078471,3704.71435546875,10381.1357421875,0,1,1,29.8861782364062,15.4894697703144,49.5635867087177,71.3014985595785,45.4466507991269,0.556999981403351,5.66699981689453,1.87700009346008,1807.68759343449
"37",100407,3,258.241084776356,259.682413078471,9285.1748046875,10381.1357421875,0,5,1,46.4298634417357,32.0331549756439,66.1072719140472,87.8451837649079,45.4015166812737,0.541000008583069,5.66099977493286,1.65900003910065,774.723254329068
"38",100408,1,258.241084776356,259.682413078471,21339.640625,10381.1357421875,0,9,1,43.4820965130926,27.1076268466457,61.181743785049,84.8974168362648,46.3470598848262,0.787000000476837,4.94600009918213,2.78399991989136,258.241084776356
"39",100409,2,258.241084776356,259.682413078471,10605.1064453125,10381.1357421875,0,6,1,54.7017060444005,40.3049975783087,74.379114516712,96.1170263675727,45.0365077144352,0.563000023365021,5.93900012969971,1.2059999704361,516.482169552712
"40",100410,2,258.241084776356,259.682413078471,8813.22265625,10381.1357421875,0,5,1,71.2453912497299,56.8486827836382,90.9227997220414,112.660711572902,45.8665413053487,1.0809999704361,5.13500022888184,2.00200009346008,516.482169552712
"41",100501,7,165.459856712994,166.383342511355,2449.720703125,10381.1357421875,0,1,1,11.3367014989702,11.4135149100095,48.7339448007816,52.7520218221424,40.2292499099579,0,4.80900001525879,0.370999991893768,1158.21899699096
"42",100502,7,165.459856712994,166.383342511355,8070.015625,10381.1357421875,0,4,1,15.9882762930021,12.843686508389,46.9178034467923,57.4035966161743,40.4906409655984,0,4.63600015640259,0.293000012636185,1158.21899699096
"43",100503,8,165.459856712994,166.383342511355,7119.10888671875,10381.1357421875,0,4,1,15.2869214094273,13.5450413919638,47.6191583303671,56.7022417325995,40.3496556291414,0.130999997258186,4.76599979400635,0.185000002384186,1323.67885370395
"44",100504,4,165.459856712994,166.383342511355,8367.9990234375,10381.1357421875,0,4,1,16.6896311765769,12.1423316248142,46.2164485632174,58.1049514997491,40.4333158612562,0.185000002384186,4.75,0.130999997258186,661.839426851976
"45",100505,7,165.459856712994,166.383342511355,3931.74975585938,10381.1357421875,0,1,1,17.3909860601518,11.4409767412393,45.5150936796426,58.8063063833239,40.7337782233057,0.0930000022053719,4.41699981689453,0.130999997258186,1158.21899699096
"46",100506,3,165.459856712994,166.383342511355,6640.37841796875,10381.1357421875,0,3,1,23.9949860887309,11.3643352664529,45.4384522048561,65.4103064119031,41.0038650913891,0.0930000022053719,3.83299970626831,0.261999994516373,496.379570138982
"47",100507,5,165.459856712994,166.383342511355,12133.3916015625,10381.1357421875,0,7,1,15.4158906914208,15.4927041024601,52.8131339932322,56.831211014593,40.3580002826959,0.381999999284744,3.8970000743866,0.277999997138977,827.29928356497
"48",100508,7,165.459856712994,166.383342511355,9260.451171875,10381.1357421875,0,5,1,20.8585129011047,14.500808454079,48.5749253924823,62.2738332242769,40.5723649492206,0.333999991416931,4,0.370999991893768,1158.21899699096
"49",100509,3,165.459856712994,166.383342511355,4933.1875,10381.1357421875,0,2,1,26.8770470978167,8.22786207882672,42.30197901723,68.2923674209889,41.1627980265117,0.186000004410744,3.73000001907349,0.277999997138977,496.379570138982
"50",100510,6,165.459856712994,166.383342511355,6893.20751953125,10381.1357421875,0,3,1,17.7220397134786,17.3828694631648,51.4569864015681,59.1373600366508,40.5148687404451,0.130999997258186,4.27099990844727,0.592999994754791,992.759140277964
"51",100601,2,191.747871330947,192.818079172038,5663.9140625,10381.1357421875,0,2,1,88.0406699423509,73.6439614762591,107.718078414662,129.455990265523,41.4079717701429,0.185000002384186,6.77899980545044,0.0930000022053719,383.495742661894
"52",100602,11,191.747871330947,192.818079172038,7620.52685546875,10381.1357421875,0,4,1,85.3059938509594,82.1673975662154,116.241514504619,126.721314174132,40.9081074381514,0.185000002384186,6.96400022506714,0.261999994516373,2109.22658464042
