"","Domain","Direct","FH","Out","admin2Name"
"32",5006,0.414150134334248,0.536155148941121,0,"Rugombo"
"33",6001,0.658864954726321,0.66712062878772,0,"Bugendana"
"34",6002,0.479845671231215,0.597893970413279,0,"Bukirasazi"
"35",6003,0.678596781826786,0.634511680095754,0,"Buraza"
"36",6004,0.53615127919911,0.605868680818357,0,"Giheta"
"37",6005,0.441781328894882,0.580424042119635,0,"Gishubi"
"38",6006,0.391175864409372,0.496618686544454,0,"Gitega"
"39",6007,0.547810561924451,0.630901459761196,0,"Itaba"
"40",6008,0.526845230881105,0.608805640101318,0,"Makebuko"
"41",6009,0.545888405351625,0.649202962481561,0,"Mutaho"
"42",6010,0.750152685757594,0.63315504110752,0,"Ryansoro"
"43",6011,0.605437869368332,0.61824879428929,0,"Nyanrusange"
"44",7001,0.763767303858979,0.744955444573402,0,"Bugenyuzi"
"45",7002,0.741359025728714,0.726054668639383,0,"Buhiga"
"46",7003,0.68671679197995,0.694589659398545,0,"Gihogazi"
"47",7004,0.775530246474021,0.74926304203895,0,"Gitaramuka"
"48",7005,0.759364121978216,0.735032091590466,0,"Mutumba"
"49",7006,0.718333861762841,0.708067106761315,0,"Nyabikere"
"50",7007,0.796191818560356,0.743710636896764,0,"Shombo"
"51",8001,0.350387356294823,0.533131271394412,0,"Butaganzwa"
"52",8002,0.585863943774035,0.627333355546853,0,"Gahombo"
"53",8003,0.660523266179355,0.639253877228219,0,"Gatara"
"54",8004,0.663194941200035,0.643957481954827,0,"Kabarore"
"55",8005,0.474806740154702,0.517570979794654,0,"Kayanza"
"56",8006,0.693207738447242,0.651338069482558,0,"Matongo"
"57",8007,0.485241066961582,0.59788798324414,0,"Muhanga"
"58",8008,0.484516263119609,0.564697034343546,0,"Muruta"
"59",8009,0.456331094102733,0.58452637094451,0,"Rango"
"60",9001,0.909054376143229,0.818472401737126,0,"Bugabira"
"61",9002,0.608252839540769,0.669919669019261,0,"Busoni"
"62",9003,0.647409094969022,0.689364592520978,0,"Bwambarangwe"
"63",9004,0.569181085660412,0.67338467679362,0,"Gitobe"
"64",9005,0.672904162289416,0.69212848004559,0,"Kirundo"
"65",9006,0.896409144369303,0.812174002529268,0,"Ntega"
"66",9007,0.852265000459432,0.7644479495827,0,"Vumbi"
"67",10001,0.627148745738382,0.650163740410599,0,"Kayogoro"
"68",10002,0.44995976664655,0.563388326607536,0,"Kibago"
"69",10003,0.421001136692226,0.536552861730934,0,"Mabanda"
"70",10004,0.721342803576215,0.672406900434768,0,"Makamba"
"71",10005,0.623318232619249,0.596992881228122,0,"Nyanza-Lac"
"72",10006,0.730832225964955,0.640598592242084,0,"Vugizo"
"73",11001,0.848537220934394,0.774860225001776,0,"Bukeye"
"74",11002,0.630003499917107,0.625410660892695,0,"Kiganda"
"75",11003,0.897330859263489,0.784891404280812,0,"Mbuye"
"76",11004,0.72828801414984,0.687119511531225,0,"Muramvya"
"77",11005,0.773567626352241,0.700635649242705,0,"Rutegama"
"78",12001,0.711383679655124,0.702922610348804,0,"Buhinyuza"
"79",12002,0.667692211375497,0.672771463519717,0,"Butihinda"
"80",12003,0.762695599381133,0.743195185102776,0,"Gashoho"
"81",12004,0.74490971881111,0.718891208332694,0,"Gasorwe"
"82",12005,0.716981132075472,0.71313877013852,0,"Giteranyi"
"83",12006,0.476569479412004,0.615620343535169,0,"Muyinga"
"84",13001,0.67625234801973,0.634465878260041,0,"Bisoro"
"85",13002,0.260154975204353,0.484112900858043,0,"Gisozi"
"86",13003,0.499123013869462,0.563216911873754,0,"Kayokwe"
"87",13004,0.680810886541671,0.658457906025708,0,"Ndava"
"88",13005,0.749690450490689,0.686848372870577,0,"Nyabihanga"
"89",13006,0.614192495921697,0.615038643397556,0,"Rusaka"
"90",14001,0.626323947300439,0.626666654800141,0,"Busiga"
"91",14002,0.739979859013091,0.71568248736332,0,"Gashikanwa"
"92",14003,0.756338717572198,0.734937650744474,0,"Kiremba"
"93",14004,0.715483716787243,0.722733592881113,0,"Marangara"
"94",14005,0.748360890968895,0.692125301410404,0,"Mwumba"
"95",14006,0.486938548761592,0.558679704262371,0,"Ngozi"
"96",14007,0.643888982087271,0.701797341995444,0,"Nyamurenza"
"97",14008,0.518703669036622,0.64721756274461,0,"Ruhororo"
"98",14009,0.637277321180987,0.683679299968831,0,"Tangara"
"99",15001,0.834139862596955,0.836810719620922,0,"Bukemba"
"100",15002,0.890284547184701,0.87604526992244,0,"Giharo"
"101",15003,0.80444745115993,0.816871997737241,0,"Gitanga"
"102",15004,0.827304499781564,0.82711504393514,0,"Mpinga-Kayove"
"103",15005,0.895117066425063,0.851546629307068,0,"Musongati"
"104",15006,0.693849732287897,0.755372368383831,0,"Rutana"
"105",16001,0.828921461387005,0.821984370429108,0,"Butaganzwa1"
"106",16002,0.928825744608011,0.846315579837257,0,"Butezi"
"107",16003,0.896065360539793,0.846538555590213,0,"Bweru"
"108",16004,0.884025084116746,0.847904563680593,0,"Gisuru"
"109",16005,0.844227500235325,0.853244921318776,0,"Kinyinya"
"110",16006,0.634831826166157,0.78279818191243,0,"Nyabitsinda"
"111",16007,0.751968296568984,0.771466478010072,0,"Ruyigi"
"112",17014,0.181285986044718,0.18220332849683,0,"Muha"
"113",17015,0.110559258889581,0.11165818877036,0,"Mukaza"
"114",17016,0.127497332226615,0.128158007744666,0,"Ntahangwa"
"115",18001,0.690167294138784,0.644769227376269,0,"Muhuta"
"116",18002,0.518745326300046,0.588130517058035,0,"Bugarama"
"117",18003,0.685713856191464,0.656464342652813,0,"Burambi"
"118",18004,0.555183386367443,0.603050334488092,0,"Buyengero"
"119",18005,0.606061844953302,0.577317439020327,0,"Rumonge"
