"","Domain","Direct_Head_Count","EBP_Head_Count","HT_Head_Count_CV","DesignEffect_CV","EBP_Head_Count_CV"
"94","6010",0.740543012755839,0.565684313886737,0.246204704289817,0.108238811350329,0.103650764881935
"95","6011",0.679081280221045,0.574998497626441,0.267664396142815,0.111775450707277,0.0851368811997148
"96","7001",0.783195392373901,0.74301011208402,0.162663580564764,0.0751657289275207,0.0434802489192843
"97","7002",0.753926658353495,0.708844440047291,0.155834249744436,0.0639991189184797,0.0496606648018592
"98","7003",0.727438751918556,0.768755004397285,0.187780514043016,0.0936957331254212,0.0480495006791678
"99","7004",0.784528967336794,0.77282619831094,0.177412555675544,0.0686772591851015,0.0412667441378572
"100","7005",0.776833122122588,0.772087109212358,0.200218228561977,0.100223066097232,0.0424137716937321
"101","7006",0.743539949270767,0.724787914209634,0.245916461329763,0.0987026362047309,0.0572345122513098
"102","7007",0.824702917473054,0.754880823031143,0.193904108525876,0.0717625188137135,0.0507624614001059
"103","8001",0.350387356294823,0.53098801545417,0.348583914057407,0.302996706452515,0.0960157613150963
"104","8002",0.618241320432555,0.575486272107338,0.322045082045472,0.181239288824551,0.110097386174435
"105","8003",0.695962761544843,0.63400739883394,0.214851807571847,0.0962017266318697,0.0790860990363678
"106","8004",0.719076368422559,0.664770699254193,0.223595909146864,0.120423364385325,0.0746570640228721
"107","8005",0.569460522151231,0.500431922124719,0.180238563617166,0.118026818202376,0.0889991688795258
"108","8006",0.729956914758807,0.617390975228434,0.251783451774557,0.105968938963183,0.0849209308525415
"109","8007",0.517286778839824,0.543556485419099,0.265072033096977,0.187597650701136,0.0982522824919085
"110","8008",0.542138626208043,0.565810269396167,0.241692840973638,0.17603444060356,0.0785677147100118
"111","8009",0.603640836052151,0.55044223373799,0.254107452053715,0.159606447713155,0.0867456773030814
"112","9001",0.913760072124866,0.760164085919932,0.190057812126797,0.0326521854309278,0.0530721915927023
"113","9002",0.663344746959042,0.65489677641274,0.153959661702764,0.0867403088534452,0.0594500188828261
"114","9003",0.71334183050531,0.641055214786563,0.221470274114169,0.105902939381002,0.0597401921742308
"115","9004",0.630355544541259,0.692103120883671,0.218081067816114,0.138041780493015,0.0663487799830317
"116","9005",0.701562196068071,0.669364570269397,0.176469888409251,0.0805073504726574,0.0509986449330874
"117","9006",0.904440868568046,0.807498065542675,0.138821723478703,0.0373974365459928,0.0428226597042631
"118","9007",0.890191957667986,0.76480227033809,0.184202505637854,0.0524094035656936,0.0540458532160695
