"","admin2Name","Direct_Head_Count","EBP_Head_Count","HT_Head_Count_CV","DesignEffect_CV","EBP_Head_Count_CV"
"42","Nyanrusange",0.679081280221045,0.574998497626441,0.267664396142815,0.111775450707277,0.0851368811997148
"43","Bugenyuzi",0.783195392373901,0.74301011208402,0.162663580564764,0.0751657289275207,0.0434802489192843
"44","Buhiga",0.753926658353495,0.708844440047291,0.155834249744436,0.0639991189184797,0.0496606648018592
"45","Gihogazi",0.727438751918556,0.768755004397285,0.187780514043016,0.0936957331254212,0.0480495006791678
"46","Gitaramuka",0.784528967336794,0.77282619831094,0.177412555675544,0.0686772591851015,0.0412667441378572
"47","Mutumba",0.776833122122588,0.772087109212358,0.200218228561977,0.100223066097232,0.0424137716937321
"48","Nyabikere",0.743539949270767,0.724787914209634,0.245916461329763,0.0987026362047309,0.0572345122513098
"49","Shombo",0.824702917473054,0.754880823031143,0.193904108525876,0.0717625188137135,0.0507624614001059
"50","Butaganzwa",0.350387356294823,0.53098801545417,0.348583914057407,0.302996706452515,0.0960157613150963
"51","Gahombo",0.618241320432555,0.575486272107338,0.322045082045472,0.181239288824551,0.110097386174435
"52","Gatara",0.695962761544843,0.63400739883394,0.214851807571847,0.0962017266318697,0.0790860990363678
"53","Kabarore",0.719076368422559,0.664770699254193,0.223595909146864,0.120423364385325,0.0746570640228721
"54","Kayanza",0.569460522151231,0.500431922124719,0.180238563617166,0.118026818202376,0.0889991688795258
"55","Matongo",0.729956914758807,0.617390975228434,0.251783451774557,0.105968938963183,0.0849209308525415
"56","Muhanga",0.517286778839824,0.543556485419099,0.265072033096977,0.187597650701136,0.0982522824919085
"57","Muruta",0.542138626208043,0.565810269396167,0.241692840973638,0.17603444060356,0.0785677147100118
"58","Rango",0.603640836052151,0.55044223373799,0.254107452053715,0.159606447713155,0.0867456773030814
"59","Bugabira",0.913760072124866,0.760164085919932,0.190057812126797,0.0326521854309278,0.0530721915927023
"60","Busoni",0.663344746959042,0.65489677641274,0.153959661702764,0.0867403088534452,0.0594500188828261
"61","Bwambarangwe",0.71334183050531,0.641055214786563,0.221470274114169,0.105902939381002,0.0597401921742308
"62","Gitobe",0.630355544541259,0.692103120883671,0.218081067816114,0.138041780493015,0.0663487799830317
"63","Kirundo",0.701562196068071,0.669364570269397,0.176469888409251,0.0805073504726574,0.0509986449330874
"64","Ntega",0.904440868568046,0.807498065542675,0.138821723478703,0.0373974365459928,0.0428226597042631
"65","Vumbi",0.890191957667986,0.76480227033809,0.184202505637854,0.0524094035656936,0.0540458532160695
"66","Kayogoro",0.643654062583831,0.59328836591884,0.197989130611566,0.110681546431384,0.0728250258938214
"67","Kibago",0.44995976664655,0.566107963995498,0.32881302768252,0.254688568096745,0.100392299419799
"68","Mabanda",0.421001136692226,0.512493287496951,0.36670994321852,0.283082715077706,0.101725101136229
"69","Makamba",0.721342803576215,0.626111430814993,0.18779625378431,0.0910997178285671,0.0785139701626471
"70","Nyanza-Lac",0.646097275899431,0.575251518272921,0.223524959193995,0.11410924973654,0.0902934968365353
"71","Vugizo",0.730832225964956,0.574498083549148,0.352144056493205,0.168239622547317,0.0964602463389316
"72","Bukeye",0.847817903177731,0.77355998627294,0.148501315619859,0.0644063746941044,0.047973340545146
"73","Kiganda",0.652439810636064,0.65916748666418,0.206739706638167,0.121349353136532,0.061030534418974
"74","Mbuye",0.897330859263488,0.774377466764061,0.167721279077814,0.0415335629668858,0.0524695074829779
"75","Muramvya",0.783774476895068,0.692661516462099,0.137766290693772,0.0520516112111066,0.0530776187209317
"76","Rutegama",0.841108122030794,0.731822880500878,0.206166104304945,0.0604791067593806,0.0648316952287794
"77","Buhinyuza",0.760445146216794,0.707163209203663,0.145416817338421,0.0611340094443415,0.0506945701633594
"78","Butihinda",0.683267671640857,0.664523497950752,0.142907193324139,0.0760095689020662,0.0524580290246861
"79","Gashoho",0.809180980831466,0.728170583215387,0.127314311238771,0.0469374200684981,0.0476930271875465
"80","Gasorwe",0.801714155918574,0.701317158123469,0.171808067627501,0.061245777156422,0.0573733045564355
"81","Giteranyi",0.833333333333333,0.631574688358977,0.372373069194572,0.181050424467047,0.0987914873608899
"82","Muyinga",0.476569479412004,0.632113279478046,0.381516380770506,0.248042228611102,0.0792575213300198
"83","Bisoro",0.727944197168494,0.591446203869821,0.231083772262973,0.0967943554882563,0.0856287529475815
"84","Gisozi",0.274082870286955,0.527078779385647,0.336070042198946,0.310463173371351,0.0845008575882899
"85","Kayokwe",0.580822118518518,0.547097245393746,0.222052974376659,0.134611735116439,0.0891077023888248
"86","Ndava",0.721233385719333,0.61430389033872,0.170836968364137,0.0696679610375383,0.0742840986045161
"87","Nyabihanga",0.805731938809692,0.677460545975673,0.153432682051685,0.0593100307010261,0.0567294989006069
"88","Rusaka",0.614192495921697,0.59337520822902,0.227109615340201,0.118097608921525,0.0760433791370419
"89","Busiga",0.652784441082039,0.682745415713293,0.203408051300346,0.106118146009423,0.06042287295345
"90","Gashikanwa",0.765339192529525,0.688451057031359,0.199431562884278,0.0924217819837572,0.0586502649202033
"91","Kiremba",0.758900310001631,0.736295713398991,0.176439377001583,0.0763888358719785,0.0482275141243149
"92","Marangara",0.757413804340742,0.724321082653186,0.189874983087733,0.0974395639581885,0.0460366994777847
"93","Mwumba",0.800326718029095,0.712521963173008,0.213233184433902,0.0891292202660631,0.0679140202138415
"94","Ngozi",0.520330838527233,0.486374595037788,0.200777320190356,0.139348332799987,0.0752457879922404
"95","Nyamurenza",0.669984529068575,0.696581809311399,0.238623332761081,0.137195414148578,0.0589992446151687
"96","Ruhororo",0.610675251342455,0.625652335343371,0.217848356683016,0.130232397358028,0.0627444029298123
"97","Tangara",0.67191429972031,0.669369636674431,0.196810367229296,0.108857536789427,0.064885599639168
"98","Bukemba",0.834139862596955,0.785766625247461,0.245344443752368,0.0763742113843371,0.0630783585886441
"99","Giharo",0.887536554797382,0.826040799544537,0.154685704545003,0.0346123261834816,0.0339644288538383
"100","Gitanga",0.80444745115993,0.764020939659266,0.220850318410778,0.0870213873327552,0.05940620148085
"101","Mpinga-Kayove",0.827304499781564,0.782116726478311,0.198182677482378,0.0750653029100599,0.0483764405870232
"102","Musongati",0.919007200419627,0.803146172299971,0.190613232428586,0.0384299852501155,0.0509122225756675
"103","Rutana",0.748872559656109,0.701807228411894,0.23141651532205,0.0829939112386739,0.0664090421134097
"104","Butaganzwa1",0.828921461387005,0.777010793386627,0.221128248959085,0.0621375063488612,0.0488513060982496
"105","Butezi",0.92570090952951,0.769018789879062,0.224543799920396,0.0555258306472824,0.0554191143335284
"106","Bweru",0.914519144784977,0.768995104528697,0.29154416268218,0.0697575278858807,0.059672372541917
"107","Gisuru",0.884025084116746,0.815178299980937,0.186229461138034,0.0596061071566092,0.046773821566741
"108","Kinyinya",0.844227500235325,0.792811245811924,0.208341001749431,0.0561999749717028,0.0510359443142973
"109","Nyabitsinda",0.634831826166157,0.743140076971978,0.22989831091185,0.153725761138764,0.0494592517934617
"110","Ruyigi",0.751968296568984,0.683815797164092,0.250139404722742,0.125918057814844,0.0686729723097324
"111","Muha",0.23449728035476,0.160629596879277,0.189753643496462,0.167129619869557,0.155318864244187
"112","Mukaza",0.148204303989212,0.118848458287587,0.283772250404369,0.272796954664751,0.171345868856589
"113","Ntahangwa",0.153520340053091,0.137251458611137,0.147860894886754,0.144149773412421,0.106211408679788
"114","Muhuta",0.718785897098193,0.652788192388315,0.183896473274893,0.0900378771884224,0.0651611268486828
"115","Bugarama",0.56385537298652,0.617029687665449,0.257837258947113,0.165356905658395,0.0756282944576347
"116","Burambi",0.718666847066252,0.633660267730458,0.185839359268024,0.0704491563344051,0.0607059991771345
"117","Buyengero",0.613602103418054,0.612563426707046,0.200513377436558,0.119404132051638,0.0617968055895559
"118","Rumonge",0.618998613402328,0.55908697570037,0.140177117761849,0.0763717056295374,0.0658743467166645
