"","admin2Pcod","admin2Name","admin0Pcod","admin1Pcod","area","Domain","Direct","FH","Out","population","poppoor"
"21","BDI004001","Cankuzo","BDI","BDI004",472.074319784854,4001,0.640849936292812,0.665427042700566,0,64115.3778400421,42664.1062677287
"22","BDI004002","Cendajuru","BDI","BDI004",180.466808538418,4002,0.7895050922979,0.738467876552143,0,62669.4719176292,46279.3918516558
"23","BDI004003","Gisagara","BDI","BDI004",329.616233428247,4003,0.603047548801851,0.651969898730188,0,80813.7245035172,52688.1157805674
"24","BDI004004","Kigamba","BDI","BDI004",542.444216948198,4004,0.504553293860468,0.612593404754823,0,70839.2298908234,43395.6450290291
"25","BDI004005","Mishiha","BDI","BDI004",365.733710512929,4005,0.629429932866647,0.665588562916427,0,76349.6090450287,50817.4265635117
"26","BDI005001","Buganda","BDI","BDI005",178.670531372792,5001,0.591296405737925,0.609891530753262,0,84043.5281486511,51257.4360324857
"27","BDI005002","Bukinanyana","BDI","BDI005",328.117282720344,5002,0.749760517136735,0.690673448489987,0,95861.6149454117,66209.0721721668
"28","BDI005003","Mabayi","BDI","BDI005",328.459390663775,5003,0.515561501119861,0.590452276454294,0,88885.3473248482,52482.5556713872
"29","BDI005004","Mugina","BDI","BDI005",282.403618687327,5004,0.659384085442704,0.647781701745113,0,123055.587855816,79713.1581104857
"30","BDI005005","Murwi","BDI","BDI005",249.6728436646,5005,0.762692145397552,0.70373446020928,0,92756.10572052,65275.6679903451
"31","BDI005006","Rugombo","BDI","BDI005",201.665018549429,5006,0.414150134334248,0.536155148941121,0,135441.602040291,72617.7123147362
"32","BDI006001","Bugendana","BDI","BDI006",270.228689057299,6001,0.658864954726321,0.66712062878772,0,134956.993240833,90032.5941901248
"33","BDI006002","Bukirasazi","BDI","BDI006",82.5064324672529,6002,0.479845671231215,0.597893970413279,0,36101.0347857475,21584.5910240785
"34","BDI006003","Buraza","BDI","BDI006",147.865696937376,6003,0.678596781826786,0.634511680095754,0,57981.3963370323,36789.8732041082
"35","BDI006004","Giheta","BDI","BDI006",152.583493126959,6004,0.53615127919911,0.605868680818357,0,82905.5764489174,50229.8922355911
"36","BDI006005","Gishubi","BDI","BDI006",133.208262425925,6005,0.441781328894882,0.580424042119635,0,71808.8250002861,41679.5684665275
"37","BDI006006","Gitega","BDI","BDI006",302.529640926481,6006,0.391175864409372,0.496618686544454,0,245306.37491703,121823.729712277
"38","BDI006007","Itaba","BDI","BDI006",214.637411222093,6007,0.547810561924451,0.630901459761196,0,55460.458647728,34990.084319877
"39","BDI006008","Makebuko","BDI","BDI006",169.910058688064,6008,0.526845230881105,0.608805640101318,0,67459.186170578,41069.5330172927
"40","BDI006009","Mutaho","BDI","BDI006",148.045154963063,6009,0.545888405351625,0.649202962481561,0,79574.4196166992,51659.948952912
"41","BDI006010","Ryansoro","BDI","BDI006",163.923397288227,6010,0.750152685757594,0.63315504110752,0,46452.9711923599,29411.9328848651
"42","BDI006011","Nyanrusange","BDI","BDI006",116.570366754175,6011,0.605437869368332,0.61824879428929,0,51467.5344929695,31819.7411453209
"43","BDI007001","Bugenyuzi","BDI","BDI007",221.290842304077,7001,0.763767303858979,0.744955444573402,0,106566.126855373,79387.0164080102
"44","BDI007002","Buhiga","BDI","BDI007",263.392026366643,7002,0.741359025728714,0.726054668639383,0,62148.6472151279,45123.3154601656
"45","BDI007003","Gihogazi","BDI","BDI007",197.370146120743,7003,0.68671679197995,0.694589659398545,0,83775.0802116394,58189.3044302884
"46","BDI007004","Gitaramuka","BDI","BDI007",206.061951321068,7004,0.775530246474021,0.74926304203895,0,94443.6011500359,70763.0998987892
"47","BDI007005","Mutumba","BDI","BDI007",173.994029056843,7005,0.759364121978216,0.735032091590466,0,62330.1474032402,45814.6586149457
"48","BDI007006","Nyabikere","BDI","BDI007",186.18379109838,7006,0.718333861762841,0.708067106761315,0,74291.9385509491,52603.6779854599
"49","BDI007007","Shombo","BDI","BDI007",165.033395165555,7007,0.796191818560356,0.743710636896764,0,75515.1862826347,56161.447285636
"50","BDI008001","Butaganzwa","BDI","BDI008",100.25504814769,8001,0.350387356294823,0.533131271394412,0,64406.0556397438,34336.8823287159
"51","BDI008002","Gahombo","BDI","BDI008",78.3366545016996,8002,0.585863943774035,0.627333355546853,0,54188.60324049,33994.3183032536
"52","BDI008003","Gatara","BDI","BDI008",102.567250501645,8003,0.660523266179355,0.639253877228219,0,89896.5540065765,57466.72069816
"53","BDI008004","Kabarore","BDI","BDI008",190.69518897095,8004,0.663194941200035,0.643957481954827,0,95080.9219994545,61228.0711127121
"54","BDI008005","Kayanza","BDI","BDI008",118.848838712459,8005,0.474806740154702,0.517570979794654,0,164111.34206295,84939.2681069368
"55","BDI008006","Matongo","BDI","BDI008",156.313199927638,8006,0.693207738447242,0.651338069482558,0,92630.5230212212,60333.7860398018
"56","BDI008007","Muhanga","BDI","BDI008",120.755065518578,8007,0.485241066961582,0.59788798324414,0,144890.284025192,86628.1597074928
"57","BDI008008","Muruta","BDI","BDI008",142.572141574911,8008,0.484516263119609,0.564697034343546,0,45480.627872467,25682.7756796646
"58","BDI008009","Rango","BDI","BDI008",174.224675597651,8009,0.456331094102733,0.58452637094451,0,156483.022121906,91468.4530353474
"59","BDI009001","Bugabira","BDI","BDI009",243.118439500323,9001,0.909054376143229,0.818472401737126,0,149932.873390198,122715.918983024
"60","BDI009002","Busoni","BDI","BDI009",514.276816216269,9002,0.608252839540769,0.669919669019261,0,242990.161918163,162783.888847153
"61","BDI009003","Bwambarangwe","BDI","BDI009",185.850655261101,9003,0.647409094969022,0.689364592520978,0,100380.206832409,69198.560380195
"62","BDI009004","Gitobe","BDI","BDI009",172.906562704773,9004,0.569181085660412,0.67338467679362,0,68639.2095789909,46220.5919577183
"63","BDI009005","Kirundo","BDI","BDI009",222.750185824447,9005,0.672904162289416,0.69212848004559,0,123495.435330391,85474.707947792
"64","BDI009006","Ntega","BDI","BDI009",246.7666768051,9006,0.896409144369303,0.812174002529268,0,131938.486109257,107157.008351007
"65","BDI009007","Vumbi","BDI","BDI009",194.703675873803,9007,0.852265000459432,0.7644479495827,0,85525.1770296097,65379.5462179826
"66","BDI010001","Kayogoro","BDI","BDI010",454.615377720838,10001,0.627148745738382,0.650163740410599,0,143183.767970562,93092.8941498239
"67","BDI010002","Kibago","BDI","BDI010",266.918780839454,10002,0.44995976664655,0.563388326607536,0,60408.2076120377,34033.2789999065
"68","BDI010003","Mabanda","BDI","BDI010",273.198481166582,10003,0.421001136692226,0.536552861730934,0,54223.7631540298,29093.9152941151
"69","BDI010004","Makamba","BDI","BDI010",304.832640535427,10004,0.721342803576215,0.672406900434768,0,100970.953036785,67893.5655654093
"70","BDI010005","Nyanza-Lac","BDI","BDI010",370.150188593611,10005,0.623318232619249,0.596992881228122,0,201476.893236637,120280.270994231
"71","BDI010006","Vugizo","BDI","BDI010",222.794301386548,10006,0.730832225964955,0.640598592242084,0,44492.8138842583,28502.0339391449
"72","BDI011001","Bukeye","BDI","BDI011",172.336147421893,11001,0.848537220934394,0.774860225001776,0,80712.7616066933,62541.108619077
"73","BDI011002","Kiganda","BDI","BDI011",107.240047712997,11002,0.630003499917107,0.625410660892695,0,63861.9902248383,39939.9695124389
"74","BDI011003","Mbuye","BDI","BDI011",117.043845302275,11003,0.897330859263489,0.784891404280812,0,65867.1387796402,51698.5510527109
"75","BDI011004","Muramvya","BDI","BDI011",191.446435962897,11004,0.72828801414984,0.687119511531225,0,115751.590484619,79535.1763127539
"76","BDI011005","Rutegama","BDI","BDI011",79.2657503189031,11005,0.773567626352241,0.700635649242705,0,46877.0035462379,32843.699814171
"77","BDI012001","Buhinyuza","BDI","BDI012",280.153914520839,12001,0.711383679655124,0.702922610348804,0,71429.4797654152,50209.3963725627
"78","BDI012002","Butihinda","BDI","BDI012",277.468179079739,12002,0.667692211375497,0.672771463519717,0,132048.433506489,88838.4178656466
"79","BDI012003","Gashoho","BDI","BDI012",149.408000155393,12003,0.762695599381133,0.743195185102776,0,46218.6016802788,34349.4422309663
"80","BDI012004","Gasorwe","BDI","BDI012",175.710345025746,12004,0.74490971881111,0.718891208332694,0,119763.001246452,86096.5686796121
"81","BDI012005","Giteranyi","BDI","BDI012",368.885800529233,12005,0.716981132075472,0.71313877013852,0,473613.175559044,337751.917539575
"82","BDI012006","Muyinga","BDI","BDI012",370.670358248838,12006,0.476569479412004,0.615620343535169,0,214151.325903416,131835.912821173
"83","BDI012007","Mwakiro","BDI","BDI012",172.965574148786,NA,NA,NA,NA,56935.7698345184,NA
"84","BDI013001","Bisoro","BDI","BDI013",124.002423301147,13001,0.67625234801973,0.634465878260041,0,48931.6288523674,31045.4488745117
"85","BDI013002","Gisozi","BDI","BDI013",117.777514871468,13002,0.260154975204353,0.484112900858043,0,39130.6506443024,18943.6527958759
"86","BDI013003","Kayokwe","BDI","BDI013",112.440928095947,13003,0.499123013869462,0.563216911873754,0,67151.1885170937,37820.6850252498
"87","BDI013004","Ndava","BDI","BDI013",168.565936266659,13004,0.680810886541671,0.658457906025708,0,72888.9305620193,47994.2925903205
"88","BDI013005","Nyabihanga","BDI","BDI013",137.96148319089,13005,0.749690450490689,0.686848372870577,0,73562.8891263008,50526.5507000584
"89","BDI013006","Rusaka","BDI","BDI013",162.110069820939,13006,0.614192495921697,0.615038643397556,0,61169.298596859,37621.4824265922
"90","BDI014001","Busiga","BDI","BDI014",123.246607465722,14001,0.626323947300439,0.626666654800141,0,72224.299454689,45260.5601345536
"91","BDI014002","Gashikanwa","BDI","BDI014",129.466226115393,14002,0.739979859013091,0.71568248736332,0,70553.3637638092,50493.8068703321
"92","BDI014003","Kiremba","BDI","BDI014",230.524740567428,14003,0.756338717572198,0.734937650744474,0,115271.535531044,84717.3915208936
"93","BDI014004","Marangara","BDI","BDI014",174.00652878569,14004,0.715483716787243,0.722733592881113,0,78462.0447850227,56707.1555322783
"94","BDI014005","Mwumba","BDI","BDI014",119.111017037204,14005,0.748360890968895,0.692125301410404,0,76303.4775567055,52811.5674025968
"95","BDI014006","Ngozi","BDI","BDI014",180.866389707354,14006,0.486938548761592,0.558679704262371,0,277090.274517059,154804.71262117
"96","BDI014007","Nyamurenza","BDI","BDI014",93.0009606415813,14007,0.643888982087271,0.701797341995444,0,31452.35668993,22073.1803244855
"97","BDI014008","Ruhororo","BDI","BDI014",159.642924975665,14008,0.518703669036622,0.64721756274461,0,66456.7795524597,43011.9948897988
"98","BDI014009","Tangara","BDI","BDI014",203.378965201087,14009,0.637277321180987,0.683679299968831,0,93129.3935828209,63670.6386112247
"99","BDI015001","Bukemba","BDI","BDI015",223.083042543908,15001,0.834139862596955,0.836810719620922,0,72204.4311823845,60421.4420175505
"100","BDI015002","Giharo","BDI","BDI015",565.143137989501,15002,0.890284547184701,0.87604526992244,0,214056.679263592,187523.341364174
"101","BDI015003","Gitanga","BDI","BDI015",269.600112657494,15003,0.80444745115993,0.816871997737241,0,72260.4067115784,59027.5027877926
"102","BDI015004","Mpinga-Kayove","BDI","BDI015",288.790679193093,15004,0.827304499781564,0.82711504393514,0,63927.0900468826,52875.057892773
"103","BDI015005","Musongati","BDI","BDI015",244.723789204757,15005,0.895117066425063,0.851546629307068,0,60565.0814990997,51573.9910042662
"104","BDI015006","Rutana","BDI","BDI015",259.927540496242,15006,0.693849732287897,0.755372368383831,0,78428.0978293419,59242.4180051887
"105","BDI016001","Butaganzwa1","BDI","BDI016",336.968922019805,16001,0.828921461387005,0.821984370429108,0,72766.1984677315,59812.6778360178
"106","BDI016002","Butezi","BDI","BDI016",314.410565018468,16002,0.928825744608011,0.846315579837257,0,48081.9464817047,40692.5004163679
"107","BDI016003","Bweru","BDI","BDI016",320.468114701612,16003,0.896065360539793,0.846538555590213,0,41391.9127817154,35039.8500593494
"108","BDI016004","Gisuru","BDI","BDI016",520.020098055635,16004,0.884025084116746,0.847904563680593,0,193221.764221191,163833.615685564
"109","BDI016005","Kinyinya","BDI","BDI016",268.663283741162,16005,0.844227500235325,0.853244921318776,0,100597.278011322,85834.1165616535
"110","BDI016006","Nyabitsinda","BDI","BDI016",219.68602287643,16006,0.634831826166157,0.78279818191243,0,104395.751117229,81720.8041739497
"111","BDI016007","Ruyigi","BDI","BDI016",272.11978478003,16007,0.751968296568984,0.771466478010072,0,74935.0581922531,57809.8854230573
"112","BDI017014","Muha","BDI","BDI017",36.3417680803993,17014,0.181285986044718,0.18220332849683,0,235503.72940731,42909.5633714289
"113","BDI017015","Mukaza","BDI","BDI017",16.4801617616127,17015,0.110559258889581,0.11165818877036,0,228226.018322945,25483.303836211
"114","BDI017016","Ntahangwa","BDI","BDI017",67.8573160410104,17016,0.127497332226615,0.128158007744666,0,472145.572584152,60509.2359478494
"115","BDI018001","Muhuta","BDI","BDI018",129.933350821356,18001,0.690167294138784,0.644769227376269,0,88198.6724934578,56867.7899192194
"116","BDI018002","Bugarama","BDI","BDI018",130.163244594706,18002,0.518745326300046,0.588130517058035,0,45089.8525528908,26518.7182960022
"117","BDI018003","Burambi","BDI","BDI018",273.954822763317,18003,0.685713856191464,0.656464342652813,0,64131.1902513504,42099.8396518952
"118","BDI018004","Buyengero","BDI","BDI018",206.352148457231,18004,0.555183386367443,0.603050334488092,0,76306.785551548,46016.8325505722
"119","BDI018005","Rumonge","BDI","BDI018",315.16308364749,18005,0.606061844953302,0.577317439020327,0,299212.250421524,172740.450136863
